code,name,qualification_index,income,cx,cy,,,,,,,
E07000223,Adur,238,"1,329",42.96322087,4.747186721,,,,,,,
E07000032,Amber Valley,222,"2,484",34.4876655,30.30275274,,,,,,,
E07000224,Arun,256,"3,598",40.29829571,4.741457911,,,,,,,
E07000170,Ashfield,312,"2,074",38.51797471,30.25083144,,,,,,,
E07000105,Ashford,200,"3,004",51.95395721,7.751271581,,,,,,,
E07000200,Babergh,199,"2,169",51.71050741,22.52024675,,,,,,,
E09000002,Barking and Dagenham,240,"4,011",50.12891898,14.21981544,,,,,,,
E09000003,Barnet,28,"12,188",42.98243082,16.44930485,,,,,,,
E08000016,Barnsley,311,"4,326",36.76819919,34.94494949,,,,,,,
E07000066,Basildon,290,"3,987",50.40077684,18.20713325,,,,,,,
E07000084,Basingstoke and Deane,98,"4,508",35.20371714,8.738555277,,,,,,,
E07000171,Bassetlaw,275,"2,224",39.68406697,31.61843009,,,,,,,
E06000022,Bath and North East Somerset,34,"4,483",26.75436574,10.66037616,,,,,,,
E06000055,Bedford,136,"3,954",40.81533434,22.04888309,,,,,,,
E09000004,Bexley,191,"5,641",49.41302306,12.28153754,,,,,,,
E08000025,Birmingham,269,"18,362",29.75005487,23.33104146,,,,,,,
E07000129,Blaby,170,"1,952",35.72599197,25.03276792,,,,,,,
W06000019,Blaenau Gwent,326,"1,006",22.33837105,16.27874639,,,,,,,
E07000033,Bolsover,313,"1,377",34.93833134,31.16917138,,,,,,,
E07000136,Boston,331,"1,233",45.23211278,30.69368334,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",135,"8,705",28.37807419,6.287465931,,,,,,,
E06000036,Bracknell Forest,90,"3,000",35.58844083,11.14624422,,,,,,,
E08000032,Bradford,289,"8,539",35.53273052,39.24142807,,,,,,,
E07000067,Braintree,250,"3,429",50.42681883,20.12365303,,,,,,,
E07000143,Breckland,302,"2,693",51.16491751,26.39510612,,,,,,,
E09000005,Brent,153,"8,655",41.11090589,15.28222322,,,,,,,
E07000068,Brentwood,106,"2,352",48.80448052,18.58945676,,,,,,,
W06000013,Bridgend,232,"2,548",19.12113759,14.69221264,,,,,,,
E06000043,Brighton and Hove,23,"6,858",45.84940082,5.255375164,,,,,,,
E06000023,Bristol,38,"9,939",26.07193342,12.14197649,,,,,,,
E07000144,Broadland,211,"2,770",52.65778848,26.96104689,,,,,,,
E09000006,Bromley,44,"9,558",47.09663696,10.69748469,,,,,,,
E07000234,Bromsgrove,97,"2,380",28.30119672,19.88004809,,,,,,,
E07000095,Broxbourne,265,"2,243",44.16366206,19.08002916,,,,,,,
E07000172,Broxtowe,131,"2,109",37.75537423,29.13106556,,,,,,,
E06000060,Buckinghamshire,51,"15,908",35.51297917,15.81639853,,,,,,,
W06000018,Caerphilly,299,"3,006",21.80641651,15.67061089,,,,,,,
E08000033,Calderdale,194,"3,838",34.76393739,38.01165961,,,,,,,
E07000008,Cambridge,4,"3,297",46.5181284,22.69996258,,,,,,,
E09000007,Camden,6,"12,086",43.51288113,15.00896031,,,,,,,
E07000192,Cannock Chase,300,"1,751",28.4878951,27.09023542,,,,,,,
E07000106,Canterbury,112,"3,260",53.73307449,8.333141385,,,,,,,
W06000015,Cardiff,61,"6,756",21.5380969,14.23583425,,,,,,,
W06000010,Carmarthenshire,202,"3,293",15.58745849,18.36519236,,,,,,,
E07000069,Castle Point,325,"1,983",51.37011085,17.48927491,,,,,,,
E06000056,Central Bedfordshire,118,"6,642",40.57115493,21.22160315,,,,,,,
W06000008,Ceredigion,73,"1,234",19.48835835,21.76509635,,,,,,,
E07000130,Charnwood,109,"3,502",36.81291013,27.28055269,,,,,,,
E07000070,Chelmsford,121,"4,440",50.01245435,19.06074789,,,,,,,
E07000078,Cheltenham,37,"2,703",28.18894329,16.56865712,,,,,,,
E07000177,Cherwell,125,"3,811",31.66337383,17.44866927,,,,,,,
E07000034,Chesterfield,251,"1,829",33.93370335,31.13746628,,,,,,,
E07000225,Chichester,82,"3,395",39.01763064,4.722101837,,,,,,,
E09000001,City of London,1,"1,495",44.08735368,13.71221257,,,,,,,
E07000071,Colchester,133,"3,974",51.94658623,19.95619138,,,,,,,
W06000003,Conwy,171,"2,164",19.638118,29.96741964,,,,,,,
E06000052,Cornwall,159,"11,449",16.28433634,3.830263269,,,,,,,
E07000079,Cotswold,56,"2,788",28.69322984,16.04810855,,,,,,,
E06000047,County Durham,241,"8,962",34.65672716,45.99135589,,,,,,,
E08000026,Coventry,198,"5,895",32.4629411,22.11928185,,,,,,,
E07000226,Crawley,244,"2,237",42.23429122,5.935197888,,,,,,,
E09000008,Croydon,77,"9,320",44.94312905,10.41595357,,,,,,,
E07000096,Dacorum,93,"4,094",40.74842986,18.755454,,,,,,,
E06000005,Darlington,205,"1,971",35.28386139,43.3870575,,,,,,,
E07000107,Dartford,162,"2,533",48.78402755,9.45399187,,,,,,,
W06000004,Denbighshire,208,"1,743",20.51327664,29.73129634,,,,,,,
E06000015,Derby,219,"4,345",34.39946334,28.98190599,,,,,,,
E07000035,Derbyshire Dales,79,"1,779",33.03857714,30.595324,,,,,,,
E08000017,Doncaster,315,"5,413",39.15366644,34.74051848,,,,,,,
E06000059,Dorset,147,"8,631",26.6128411,6.508925505,,,,,,,
E07000108,Dover,246,"2,417",54.04199466,7.494466283,,,,,,,
E08000027,Dudley,294,"5,427",26.3843828,23.25610651,,,,,,,
E09000009,Ealing,66,"9,631",39.35248932,14.19295811,,,,,,,
E07000009,East Cambridgeshire,122,"2,097",46.91095029,23.74811365,,,,,,,
