Ethnic group,No qualifications,Level 1,Level 2,Apprenticeship,Level 3,Level 4+,Other, Population
"Asian, Asian British or Asian Welsh: Bangladeshi"," 113,825 "," 50,845 "," 60,825 "," 8,645 "," 71,795 "," 131,015 "," 16,155 ","453,105"
"Asian, Asian British or Asian Welsh: Chinese"," 64,400 "," 20,595 "," 22,455 "," 7,465 "," 39,785 "," 211,900 "," 13,940 ","380,540"
"Asian, Asian British or Asian Welsh: Indian"," 230,170 "," 109,700 "," 130,835 "," 25,745 "," 171,215 "," 772,260 "," 52,760 ",1492685
"Asian, Asian British or Asian Welsh: Pakistani"," 273,530 "," 115,955 "," 136,805 "," 19,745 "," 162,200 "," 359,325 "," 44,115 ","1,111,675"
"Asian, Asian British or Asian Welsh: Other Asian"," 150,570 "," 66,565 "," 72,180 "," 20,090 "," 100,465 "," 323,520 "," 31,820 ","765,210"
"Black, Black British, Black Welsh, Caribbean or African: African"," 144,190 "," 81,260 "," 114,400 "," 28,955 "," 166,230 "," 537,100 "," 28,680 ","1,100,815"
"Black, Black British, Black Welsh, Caribbean or African: Caribbean"," 87,405 "," 58,570 "," 74,380 "," 24,465 "," 95,360 "," 183,925 "," 15,260 ","539,365"
"Black, Black British, Black Welsh, Caribbean or African: Other Black"," 23,420 "," 17,170 "," 27,070 "," 6,600 "," 29,945 "," 64,195 "," 4,205 ","172,605"
Mixed or Multiple ethnic groups: White and Asian," 23,160 "," 15,890 "," 38,185 "," 5,825 "," 53,875 "," 112,495 "," 3,765 ","253,195"
Mixed or Multiple ethnic groups: White and Black African," 16,100 "," 10,880 "," 19,155 "," 4,740 "," 25,570 "," 48,710 "," 3,130 ","128,285"
Mixed or Multiple ethnic groups: White and Black Caribbean," 41,985 "," 32,825 "," 55,000 "," 13,285 "," 65,765 "," 88,050 "," 5,305 ","302,215"
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups," 30,150 "," 19,840 "," 36,415 "," 9,070 "," 52,190 "," 128,900 "," 6,475 ","283,040"
"White: English, Welsh, Scottish, Northern Irish or British"," 6,763,575 "," 3,748,825 "," 5,346,065 "," 2,207,195 "," 6,609,315 "," 11,346,420 "," 867,315 ","367,888,710"
White: Gypsy or Irish Traveller," 26,815 "," 4,415 "," 4,230 "," 1,790 "," 3,455 "," 5,225 "," 1,195 ","47,125"
White: Irish," 97,095 "," 28,505 "," 40,710 "," 20,080 "," 70,845 "," 208,960 "," 15,370 ","481,565"
White: Roma," 25,365 "," 8,125 "," 5,530 "," 5,605 "," 6,620 "," 26,265 "," 5,550 ","83,060"
White: Other White," 481,390 "," 205,275 "," 228,770 "," 150,060 "," 390,100 "," 1,479,730 "," 177,715 ","3,113,040"
Other ethnic group: Arab," 48,990 "," 18,395 "," 18,235 "," 5,780 "," 26,335 "," 108,585 "," 11,005 ","237,325"
Other ethnic group: Any other ethnic group," 185,335 "," 65,580 "," 62,235 "," 25,115 "," 84,560 "," 276,660 "," 33,315 ","732,800"
England and Wales Overall ," 8,827,470 "," 4,679,225 "," 6,493,490 "," 2,590,250 "," 8,225,630 "," 16,413,230 "," 1,337,075 ","48,566,370"
