code,group,name,qualification_index,income,cx,cy
E07000223,West Sussex,Adur,238,1329,42.96322087,4.747186721
E07000071,Essex,Colchester,133,3974,51.94658623,19.95619138
E07000032,Derbyshire,Amber Valley,222,2484,34.4876655,30.30275274
E09000009,London,Ealing,66,9631,39.35248932,14.19295811
E07000224,West Sussex,Arun,256,3598,40.29829571,4.741457911
E07000170,Nottinghamshire,Ashfield,312,2074,38.51797471,30.25083144
E06000020,Shropshire,Telford and Wrekin,258,3310,24.0498642,25.93257121
E07000105,Kent,Ashford,200,3004,51.95395721,7.751271581
E07000083,Gloucestershire,Tewkesbury,89,2060,27.34296833,17.11183274
E07000200,Suffolk,Babergh,199,2169,51.71050741,22.52024675
E09000002,London,Barking and Dagenham,240,4011,50.12891898,14.21981544
E09000003,London,Barnet,28,12188,42.98243082,16.44930485
W06000015,South Wales,Cardiff,61,6756,21.5380969,14.23583425
E08000016,South Yorkshire,Barnsley,311,4326,36.76819919,34.94494949
E06000003,Teesside,Redcar and Cleveland,268,2292,38.80289009,43.46459308
E07000066,Essex,Basildon,290,3987,50.40077684,18.20713325
E07000149,Norfolk,South Norfolk,164,3067,52.0301029,25.72215577
E07000084,Hampshire,Basingstoke and Deane,98,4508,35.20371714,8.738555277
E07000088,Hampshire,Gosport,239,1562,35.50736831,5.447759781
E07000171,Nottinghamshire,Bassetlaw,275,2224,39.68406697,31.61843009
E07000094,Hampshire,Winchester,17,3566,35.14839757,7.613952599
E06000022,West of England,Bath and North East Somerset,34,4483,26.75436574,10.66037616
E07000034,Derbyshire,Chesterfield,251,1829,33.93370335,31.13746628
E06000055,Bedfordshire,Bedford,136,3954,40.81533434,22.04888309
E09000004,London,Bexley,191,5641,49.41302306,12.28153754
E07000106,Kent,Canterbury,112,3260,53.73307449,8.333141385
E08000025,West Midlands,Birmingham,269,18362,29.75005487,23.33104146
E08000032,West Yorkshire,Bradford,289,8539,35.53273052,39.24142807
E07000129,Leicestershire & Rutland,Blaby,170,1952,35.72599197,25.03276792
E07000113,Kent,Swale,298,3112,52.67169006,8.948356679
W06000019,South Wales,Blaenau Gwent,326,1006,22.33837105,16.27874639
W06000001,North Wales,Isle of Anglesey,154,1263,16.88740126,30.56778252
E07000033,Derbyshire,Bolsover,313,1377,34.93833134,31.16917138
E07000068,Essex,Brentwood,106,2352,48.80448052,18.58945676
E07000136,Lincolnshire,Boston,331,1233,45.23211278,30.69368334
E06000058,Dorset,"Bournemouth, Christchurch and Poole",135,8705,28.37807419,6.287465931
W06000016,South Wales,Rhondda Cynon Taf,287,3952,20.22245972,15.34085889
E06000036,Berkshire,Bracknell Forest,90,3000,35.58844083,11.14624422
E07000067,Essex,Braintree,250,3429,50.42681883,20.12365303
E09000010,London,Enfield,204,7962,45.46775787,17.49342546
E07000143,Norfolk,Breckland,302,2693,51.16491751,26.39510612
E07000047,Devon,West Devon,119,1195,20.85944196,6.065081027
E09000005,London,Brent,153,8655,41.11090589,15.28222322
E09000033,London,Westminster,8,13547,42.81358397,14.10000433
W06000013,South Wales,Bridgend,232,2548,19.12113759,14.69221264
E06000043,East Sussex,Brighton and Hove,23,6858,45.84940082,5.255375164
E06000057,Northumberland,Northumberland,178,6526,32.20329774,53.71938161
E06000023,West of England,Bristol,38,9939,26.07193342,12.14197649
E07000180,Oxfordshire,Vale of White Horse,31,3536,30.65356431,15.28480921
E07000144,Norfolk,Broadland,211,2770,52.65778848,26.96104689
E07000178,Oxfordshire,Oxford,15,3498,31.46426736,16.07556185
E09000006,London,Bromley,44,9558,47.09663696,10.69748469
E07000234,Worcestershire,Bromsgrove,97,2380,28.30119672,19.88004809
E06000001,Teesside,Hartlepool,278,1596,37.13336129,44.65062641
E07000095,Hertfordshire,Broxbourne,265,2243,44.16366206,19.08002916
E09000030,London,Tower Hamlets,27,9002,46.27634921,14.039253
E07000172,Nottinghamshire,Broxtowe,131,2109,37.75537423,29.13106556
E07000112,Kent,Folkestone and Hythe,243,2390,52.86341076,7.308410824
E06000060,Buckinghamshire,Buckinghamshire,51,15908,35.51297917,15.81639853
W06000018,South Wales,Caerphilly,299,3006,21.80641651,15.67061089
E08000033,West Yorkshire,Calderdale,194,3838,34.76393739,38.01165961
E07000043,Devon,North Devon,206,2018,20.95061382,7.670152495
E07000008,Cambridgeshire,Cambridge,4,3297,46.5181284,22.69996258
E07000091,Hampshire,New Forest,151,4396,32.16944865,6.270218328
E09000007,London,Camden,6,12086,43.51288113,15.00896031
E07000192,Staffordshire,Cannock Chase,300,1751,28.4878951,27.09023542
E06000040,Berkshire,Windsor and Maidenhead,29,5047,36.11298006,11.84881586
W06000009,West Wales,Pembrokeshire,187,2273,14.26735666,18.4911724
E07000239,Worcestershire,Wyre Forest,274,2030,27.2883673,19.81490178
W06000010,West Wales,Carmarthenshire,202,3293,15.58745849,18.36519236
E08000031,West Midlands,Wolverhampton,308,4267,26.20935826,24.97904978
E07000069,Essex,Castle Point,325,1983,51.37011085,17.48927491
E06000056,Bedfordshire,Central Bedfordshire,118,6642,40.57115493,21.22160315
W06000004,North Wales,Denbighshire,208,1743,20.51327664,29.73129634
W06000008,Mid Wales,Ceredigion,73,1234,19.48835835,21.76509635
E07000241,Hertfordshire,Welwyn Hatfield,72,2856,43.06863649,18.83649957
E07000130,Leicestershire & Rutland,Charnwood,109,3502,36.81291013,27.28055269
E07000103,Hertfordshire,Watford,75,2294,40.9378981,17.91073892
E07000070,Essex,Chelmsford,121,4440,50.01245435,19.06074789
E07000079,Gloucestershire,Cotswold,56,2788,28.69322984,16.04810855
E07000078,Gloucestershire,Cheltenham,37,2703,28.18894329,16.56865712
E07000036,Derbyshire,Erewash,252,2085,35.3250573,29.33478842
E07000177,Oxfordshire,Cherwell,125,3811,31.66337383,17.44866927
E07000139,Lincolnshire,North Kesteven,156,2304,44.41014112,30.96855407
E07000225,West Sussex,Chichester,82,3395,39.01763064,4.722101837
E07000081,Gloucestershire,Gloucester,225,2356,27.22288218,16.12936739
E09000001,London,City of London,1,1495,44.08735368,13.71221257
E09000023,London,Lewisham,25,7724,46.89347005,11.98365777
E07000038,Derbyshire,North East Derbyshire,234,1981,33.47548161,31.22622569
W06000003,North Wales,Conwy,171,2164,19.638118,29.96741964
E07000145,Norfolk,Great Yarmouth,330,1785,53.56351851,25.9214156
E06000052,Cornwall,Cornwall,159,11449,16.28433634,3.830263269
E09000032,London,Wandsworth,2,13528,42.35143148,12.32754321
E06000047,County Durham,County Durham,241,8962,34.65672716,45.99135589
E06000046,Isle of Wight,Isle of Wight,221,2758,33.64050311,4.724962404
E08000026,West Midlands,Coventry,198,5895,32.4629411,22.11928185
E06000051,Shropshire,Shropshire,148,6633,23.38804914,26.08840465
E07000226,West Sussex,Crawley,244,2237,42.23429122,5.935197888
E07000116,Kent,Tunbridge Wells,50,3363,49.83028406,7.364408298
E09000008,London,Croydon,77,9320,44.94312905,10.41595357
E06000034,Essex,Thurrock,285,3568,49.50989622,17.63244748
E07000096,Hertfordshire,Dacorum,93,4094,40.74842986,18.755454
E06000026,Devon,Plymouth,182,4679,20.07407545,4.804533323
E06000005,Teesside,Darlington,205,1971,35.28386139,43.3870575
W06000023,Mid Wales,Powys,180,2550,20.46321021,21.89457221
E07000107,Kent,Dartford,162,2533,48.78402755,9.45399187
E07000010,Cambridgeshire,Fenland,328,1868,47.02601263,24.68575394
E07000237,Worcestershire,Worcester,138,1884,27.7501333,18.58642529
E06000015,Derbyshire,Derby,219,4345,34.39946334,28.98190599
E07000035,Derbyshire,Derbyshire Dales,79,1779,33.03857714,30.595324
E08000017,South Yorkshire,Doncaster,315,5413,39.15366644,34.74051848
E07000220,Warwickshire,Rugby,111,2350,35.19213917,21.08432096
E06000059,Dorset,Dorset,147,8631,26.6128411,6.508925505
E07000046,Devon,Torridge,242,1306,20.53778616,6.760486085
E07000108,Kent,Dover,246,2417,54.04199466,7.494466283
E08000027,West Midlands,Dudley,294,5427,26.3843828,23.25610651
E07000148,Norfolk,Norwich,120,2455,52.47919835,26.41117736
E07000009,Cambridgeshire,East Cambridgeshire,122,2097,46.91095029,23.74811365
E07000195,Staffordshire,Newcastle-under-Lyme,220,2349,27.15679684,29.0386084
E07000040,Devon,East Devon,114,3376,23.35300307,6.313520869
W06000002,North Wales,Gwynedd,101,2027,18.38820212,29.71299318
E07000085,Hampshire,East Hampshire,55,3437,36.19816749,7.423774522
E09000013,London,Hammersmith and Fulham,7,7920,40.85596039,13.61622599
E07000242,Hertfordshire,East Hertfordshire,68,4217,44.38843581,20.11881264
